restaurant,street,zip,city,country
McDonalds,Alexanderplatz 1,"[' 10178 Berlin', ' DE']",Berlin,Germany
McDonalds,Europaplatz 1,"[' 10557 Berlin', ' DE']",Berlin,Germany
McDonalds,Walther-Schreiber-Platz 1,"[' 12161 Berlin', ' DE']",Berlin,Germany
McDonalds,Hansastraße 1,"[' 13053 Berlin', ' DE']",Berlin,Germany
McDonalds,Hanne-Sobek-Platz 1,"[' 13357 Berlin', ' DE']",Berlin,Germany
McDonalds,Grunerstraße 20,"[' 10179 Berlin', ' DE']",Berlin,Germany
McDonalds,Osloer Straße,"[' 13359 Berlin', ' DE']",Berlin,Germany
McDonalds,Schnellerstraße 21,"[' 12439 Berlin', ' DE']",Berlin,Germany
McDonalds,Alboinstraße 4,"[' 12103 Berlin', ' DE']",Berlin,Germany
McDonalds,Weitlingstraße 22,"[' 10317 Berlin', ' DE']",Berlin,Germany
McDonalds,Großbeerenstraße 22,"[' 12107 Berlin', ' DE']",Berlin,Germany
McDonalds,Wrangelstraße 35,"[' 10997 Berlin', ' DE']",Berlin,Germany
McDonalds,Teltower Damm 35,"[' 14169 Berlin', ' DE']",Berlin,Germany
McDonalds,Sonntagsstraße 37,"[' 10245 Berlin', ' DE']",Berlin,Germany
McDonalds,Kurt-Schumacher-Damm 38,"[' 13405 Berlin', ' DE']",Berlin,Germany
McDonalds,Prenzlauer Promenade 45,"[' 13089 Berlin', ' DE']",Berlin,Germany
McDonalds,Wilmersdorfer Straße 46,"[' 10629 Berlin', ' DE']",Berlin,Germany
McDonalds,Wendenschloßstraße 2,"[' 12559 Berlin', ' DE']",Berlin,Germany
McDonalds,Charlottenburger Chaussee 49,"[' 13597 Berlin', ' DE']",Berlin,Germany
McDonalds,Am Borsigturm 2,"[' 13507 Berlin', ' DE']",Berlin,Germany
McDonalds,Am Ostbahnhof 9,"[' 10243 Berlin', ' DE']",Berlin,Germany
McDonalds,Bitterfelder Straße 9,"[' 12681 Berlin', ' DE']",Berlin,Germany
McDonalds,Alt-Mahlsdorf 60,"[' 12623 Berlin', ' DE']",Berlin,Germany
McDonalds,Alt-Friedrichsfelde 61,"[' 10315 Berlin', ' DE']",Berlin,Germany
McDonalds,Werner-Voß-Damm 62,"[' 12101 Berlin', ' DE']",Berlin,Germany
McDonalds,Karl-Marx-Straße 66,"[' 12043 Berlin', ' DE']",Berlin,Germany
McDonalds,Greifswalder Straße 80,"[' 10405 Berlin', ' DE']",Berlin,Germany
McDonalds,Klosterstraße 3,"[' 13581 Berlin', ' DE']",Berlin,Germany
McDonalds,Saalestraße 83,"[' 12055 Berlin', ' DE']",Berlin,Germany
McDonalds,Markstraße 16,"[' 13409 Berlin', ' DE']",Berlin,Germany
McDonalds,Rudower Straße 100,"[' 12351 Berlin', ' DE']",Berlin,Germany
McDonalds,Frankfurter Allee 117,"[' 10247 Berlin', ' DE']",Berlin,Germany
McDonalds,Schloßstraße 117,"[' 12163 Berlin', ' DE']",Berlin,Germany
McDonalds,Clayallee 121,"[' 14195 Berlin', ' DE']",Berlin,Germany
McDonalds,Friedrichstraße 207,"[' 10969 Berlin', ' DE']",Berlin,Germany
McDonalds,Sonnenallee 254,"[' 12057 Berlin', ' DE']",Berlin,Germany
McDonalds,Johannisthaler Chaussee 295,"[' 12353 Berlin', ' DE']",Berlin,Germany
McDonalds,Heerstraße 666,"[' 13591 Berlin', ' DE']",Berlin,Germany
McDonalds,Leipziger Platz 12-13,"[' 10117 Berlin', ' DE']",Berlin,Germany
McDonalds,Hermannplatz 2-3,"[' 10967 Berlin', ' DE']",Berlin,Germany
McDonalds,Buckower Chaussee 100-102,"[' 12277 Berlin', ' DE']",Berlin,Germany
McDonalds,Kantstraße 111a,"[' 10627 Berlin', ' DE']",Berlin,Germany
McDonalds,Osdorfer Str. 125a,"[' 12207 Berlin', ' DE']",Berlin,Germany
McDonalds,Friedrichstraße 141-142,"[' 10117 Berlin', ' DE']",Berlin,Germany
McDonalds,Friedrichstraße 141-142,"[' 10117 Berlin', ' DE']",Berlin,Germany
McDonalds,Marzahner Promenade 1a,"[' 12679 Berlin', ' DE']",Berlin,Germany
McDonalds,Adlergestell 289a,"[' 12489 Berlin', ' DE']",Berlin,Germany
McDonalds,Schloßstraße 34-36,"[' 12163 Berlin', ' DE']",Berlin,Germany
McDonalds,Am Juliusturm 40-46,"[' 13599 Berlin', ' DE']",Berlin,Germany
McDonalds,Mecklenburgische Straße 65-68,"[' 14197 Berlin', ' DE']",Berlin,Germany
McDonalds,Hardenbergplatz 11,"[' 10623 Berlin', ' DE']",Berlin,Germany
McDonalds,Tauentzienstraße 9-12,"[' 10789 Berlin', ' DE']",Berlin,Germany
